Algorithm,DataType,DataSize,ExecutionTime(ms),Comparisons
String MergeSort with LCP,CommonPrefix,2200,21.371583,268595
MSD Radix Sort,Random,2200,7.756500,0
MSD Radix Sort,ReverseSorted,2200,8.266750,0
MSD Radix Sort,NearlySorted,2200,8.465042,0
MSD Radix Sort,CommonPrefix,2200,21.818916,0
Hybrid MSD Radix Sort,Random,2200,1.456667,0
Hybrid MSD Radix Sort,ReverseSorted,2200,2.884709,0
Hybrid MSD Radix Sort,NearlySorted,2200,1.689625,0
Hybrid MSD Radix Sort,CommonPrefix,2200,24.853416,0
Standard QuickSort,Random,2300,3.431792,31749
Standard QuickSort,ReverseSorted,2300,2.485333,22180
Standard QuickSort,NearlySorted,2300,2.433792,22407
Standard QuickSort,CommonPrefix,2300,3.467791,29215
Standard MergeSort,Random,2300,7.762542,22816
Standard MergeSort,ReverseSorted,2300,6.840083,12512
Standard MergeSort,NearlySorted,2300,6.874458,18369
Standard MergeSort,CommonPrefix,2300,11.837875,22814
String QuickSort,Random,2300,1.950416,0
String QuickSort,ReverseSorted,2300,6.204416,0
String QuickSort,NearlySorted,2300,5.520542,0
String QuickSort,CommonPrefix,2300,2.567709,0
String MergeSort with LCP,Random,2300,11.837292,32248
String MergeSort with LCP,ReverseSorted,2300,10.160958,19478
String MergeSort with LCP,NearlySorted,2300,10.797292,26136
String MergeSort with LCP,CommonPrefix,2300,22.567834,283118
MSD Radix Sort,Random,2300,8.350000,0
MSD Radix Sort,ReverseSorted,2300,8.726833,0
MSD Radix Sort,NearlySorted,2300,8.816125,0
MSD Radix Sort,CommonPrefix,2300,25.026167,0
Hybrid MSD Radix Sort,Random,2300,1.510000,0
Hybrid MSD Radix Sort,ReverseSorted,2300,3.014583,0
Hybrid MSD Radix Sort,NearlySorted,2300,1.837875,0
Hybrid MSD Radix Sort,CommonPrefix,2300,27.128958,0
Standard QuickSort,Random,2400,3.258917,30285
Standard QuickSort,ReverseSorted,2400,2.531333,23151
Standard QuickSort,NearlySorted,2400,2.634000,23864
Standard QuickSort,CommonPrefix,2400,3.411208,29541
Standard MergeSort,Random,2400,8.099292,23926
Standard MergeSort,ReverseSorted,2400,6.855583,13040
Standard MergeSort,NearlySorted,2400,7.131084,19674
Standard MergeSort,CommonPrefix,2400,13.109166,23975
String QuickSort,Random,2400,2.044500,0
String QuickSort,ReverseSorted,2400,6.641583,0
String QuickSort,NearlySorted,2400,5.927000,0
String QuickSort,CommonPrefix,2400,2.754750,0
String MergeSort with LCP,Random,2400,12.401500,33911
String MergeSort with LCP,ReverseSorted,2400,10.319958,20220
String MergeSort with LCP,NearlySorted,2400,11.182916,27945
String MergeSort with LCP,CommonPrefix,2400,24.240875,297603
MSD Radix Sort,Random,2400,8.634583,0
MSD Radix Sort,ReverseSorted,2400,9.121833,0
MSD Radix Sort,NearlySorted,2400,9.304083,0
MSD Radix Sort,CommonPrefix,2400,24.692667,0
Hybrid MSD Radix Sort,Random,2400,1.635042,0
Hybrid MSD Radix Sort,ReverseSorted,2400,3.119375,0
Hybrid MSD Radix Sort,NearlySorted,2400,1.846000,0
Hybrid MSD Radix Sort,CommonPrefix,2400,25.876791,0
Standard QuickSort,Random,2500,3.391875,30774
Standard QuickSort,ReverseSorted,2500,2.816541,24330
Standard QuickSort,NearlySorted,2500,2.671458,24868
Standard QuickSort,CommonPrefix,2500,3.356625,30543
Standard MergeSort,Random,2500,8.639166,25083
Standard MergeSort,ReverseSorted,2500,7.352083,13652
Standard MergeSort,NearlySorted,2500,7.343250,19462
Standard MergeSort,CommonPrefix,2500,12.699375,25090
String QuickSort,Random,2500,2.175292,0
String QuickSort,ReverseSorted,2500,7.166208,0
String QuickSort,NearlySorted,2500,6.256167,0
String QuickSort,CommonPrefix,2500,2.818333,0
String MergeSort with LCP,Random,2500,12.786083,35641
String MergeSort with LCP,ReverseSorted,2500,10.849459,21130
String MergeSort with LCP,NearlySorted,2500,11.547334,28393
String MergeSort with LCP,CommonPrefix,2500,24.911042,311630
MSD Radix Sort,Random,2500,9.381167,0
MSD Radix Sort,ReverseSorted,2500,9.492042,0
MSD Radix Sort,NearlySorted,2500,9.667708,0
MSD Radix Sort,CommonPrefix,2500,30.934333,0
Hybrid MSD Radix Sort,Random,2500,1.897000,0
Hybrid MSD Radix Sort,ReverseSorted,2500,3.253750,0
Hybrid MSD Radix Sort,NearlySorted,2500,1.983541,0
Hybrid MSD Radix Sort,CommonPrefix,2500,25.979958,0
Standard QuickSort,Random,2600,3.613208,31929
Standard QuickSort,ReverseSorted,2600,2.967958,25593
Standard QuickSort,NearlySorted,2600,2.812916,26102
Standard QuickSort,CommonPrefix,2600,3.972875,32633
Standard MergeSort,Random,2600,9.317541,26266
Standard MergeSort,ReverseSorted,2600,7.538708,14260
Standard MergeSort,NearlySorted,2600,9.124041,20403
Standard MergeSort,CommonPrefix,2600,14.226292,26241
String QuickSort,Random,2600,2.803416,0
String QuickSort,ReverseSorted,2600,8.683291,0
String QuickSort,NearlySorted,2600,7.027750,0
String QuickSort,CommonPrefix,2600,3.045458,0
String MergeSort with LCP,Random,2600,13.685000,37454
String MergeSort with LCP,ReverseSorted,2600,11.932750,21726
String MergeSort with LCP,NearlySorted,2600,12.092959,29442
String MergeSort with LCP,CommonPrefix,2600,27.125291,325986
MSD Radix Sort,Random,2600,11.136958,0
MSD Radix Sort,ReverseSorted,2600,11.247208,0
MSD Radix Sort,NearlySorted,2600,11.256000,0
MSD Radix Sort,CommonPrefix,2600,37.844625,0
Hybrid MSD Radix Sort,Random,2600,1.936084,0
Hybrid MSD Radix Sort,ReverseSorted,2600,3.812708,0
Hybrid MSD Radix Sort,NearlySorted,2600,2.248208,0
Hybrid MSD Radix Sort,CommonPrefix,2600,33.311166,0
Standard QuickSort,Random,2700,4.615000,35954
Standard QuickSort,ReverseSorted,2700,3.447000,26783
Standard QuickSort,NearlySorted,2700,3.614292,28254
Standard QuickSort,CommonPrefix,2700,4.611917,33961
Standard MergeSort,Random,2700,10.812125,27438
Standard MergeSort,ReverseSorted,2700,8.070458,14840
Standard MergeSort,NearlySorted,2700,7.922292,21443
Standard MergeSort,CommonPrefix,2700,14.176958,27441
String QuickSort,Random,2700,2.332458,0
String QuickSort,ReverseSorted,2700,8.261875,0
String QuickSort,NearlySorted,2700,7.069417,0
String QuickSort,CommonPrefix,2700,3.131042,0
String MergeSort with LCP,Random,2700,14.251125,39220
String MergeSort with LCP,ReverseSorted,2700,11.974875,22635
String MergeSort with LCP,NearlySorted,2700,12.825792,30879
String MergeSort with LCP,CommonPrefix,2700,28.132166,340964
MSD Radix Sort,Random,2700,10.306542,0
MSD Radix Sort,ReverseSorted,2700,10.935125,0
MSD Radix Sort,NearlySorted,2700,32.163458,0
MSD Radix Sort,CommonPrefix,2700,61.385333,0
Hybrid MSD Radix Sort,Random,2700,2.430000,0
Hybrid MSD Radix Sort,ReverseSorted,2700,3.775333,0
Hybrid MSD Radix Sort,NearlySorted,2700,2.467000,0
Hybrid MSD Radix Sort,CommonPrefix,2700,39.727417,0
Standard QuickSort,Random,2800,5.227750,36156
Standard QuickSort,ReverseSorted,2800,3.071500,27823
Standard QuickSort,NearlySorted,2800,3.344667,29603
Standard QuickSort,CommonPrefix,2800,4.984750,36496
Standard MergeSort,Random,2800,10.562333,28605
Standard MergeSort,ReverseSorted,2800,8.811667,15488
Standard MergeSort,NearlySorted,2800,9.292750,22461
Standard MergeSort,CommonPrefix,2800,16.787083,28628
String QuickSort,Random,2800,2.987375,0
String QuickSort,ReverseSorted,2800,9.306125,0
String QuickSort,NearlySorted,2800,8.200833,0
String QuickSort,CommonPrefix,2800,3.854625,0
String MergeSort with LCP,Random,2800,15.645458,41028
String MergeSort with LCP,ReverseSorted,2800,13.225125,23729
String MergeSort with LCP,NearlySorted,2800,14.088541,32280
String MergeSort with LCP,CommonPrefix,2800,30.238000,355823
MSD Radix Sort,Random,2800,10.798416,0
MSD Radix Sort,ReverseSorted,2800,11.019667,0
MSD Radix Sort,NearlySorted,2800,11.139375,0
MSD Radix Sort,CommonPrefix,2800,35.980458,0
Hybrid MSD Radix Sort,Random,2800,1.866667,0
Hybrid MSD Radix Sort,ReverseSorted,2800,3.641875,0
Hybrid MSD Radix Sort,NearlySorted,2800,2.175750,0
Hybrid MSD Radix Sort,CommonPrefix,2800,45.531333,0
Standard QuickSort,Random,2900,4.449417,37740
Standard QuickSort,ReverseSorted,2900,3.542083,29039
Standard QuickSort,NearlySorted,2900,3.372875,30792
Standard QuickSort,CommonPrefix,2900,5.306125,39412
Standard MergeSort,Random,2900,10.175375,29713
Standard MergeSort,ReverseSorted,2900,9.013834,16120
Standard MergeSort,NearlySorted,2900,8.745209,23488
Standard MergeSort,CommonPrefix,2900,16.055084,29761
String QuickSort,Random,2900,2.597417,0
String QuickSort,ReverseSorted,2900,9.185458,0
String QuickSort,NearlySorted,2900,7.921125,0
String QuickSort,CommonPrefix,2900,3.415833,0
String MergeSort with LCP,Random,2900,15.247333,42730
String MergeSort with LCP,ReverseSorted,2900,12.620583,24653
String MergeSort with LCP,NearlySorted,2900,13.126750,33649
String MergeSort with LCP,CommonPrefix,2900,29.753792,370022
MSD Radix Sort,Random,2900,10.997250,0
MSD Radix Sort,ReverseSorted,2900,11.043000,0
MSD Radix Sort,NearlySorted,2900,11.154209,0
MSD Radix Sort,CommonPrefix,2900,40.013459,0
Hybrid MSD Radix Sort,Random,2900,1.998417,0
Hybrid MSD Radix Sort,ReverseSorted,2900,3.805167,0
Hybrid MSD Radix Sort,NearlySorted,2900,2.284417,0
Hybrid MSD Radix Sort,CommonPrefix,2900,35.056625,0
Standard QuickSort,Random,3000,4.521750,41849
Standard QuickSort,ReverseSorted,3000,3.253708,30089
Standard QuickSort,NearlySorted,3000,3.573417,32734
Standard QuickSort,CommonPrefix,3000,4.253000,37057
Standard MergeSort,Random,3000,10.621791,30902
Standard MergeSort,ReverseSorted,3000,8.909917,16828
Standard MergeSort,NearlySorted,3000,9.202417,23489
Standard MergeSort,CommonPrefix,3000,16.973917,30932
String QuickSort,Random,3000,2.652667,0
String QuickSort,ReverseSorted,3000,9.899417,0
String QuickSort,NearlySorted,3000,8.404083,0
String QuickSort,CommonPrefix,3000,3.561709,0
String MergeSort with LCP,Random,3000,15.835042,44537
String MergeSort with LCP,ReverseSorted,3000,13.537542,25713
String MergeSort with LCP,NearlySorted,3000,13.672167,34064
String MergeSort with LCP,CommonPrefix,3000,31.196042,384707
MSD Radix Sort,Random,3000,11.548958,0
MSD Radix Sort,ReverseSorted,3000,11.320333,0
MSD Radix Sort,NearlySorted,3000,11.384334,0
MSD Radix Sort,CommonPrefix,3000,39.391417,0
Hybrid MSD Radix Sort,Random,3000,2.079917,0
Hybrid MSD Radix Sort,ReverseSorted,3000,3.924625,0
Hybrid MSD Radix Sort,NearlySorted,3000,2.222875,0
Hybrid MSD Radix Sort,CommonPrefix,3000,38.192917,0
