Algorithm,DataType,DataSize,ExecutionTime(ms),Comparisons
String QuickSort,NearlySorted,500,0.432542,0
String QuickSort,CommonPrefix,500,0.468167,0
String MergeSort with LCP,Random,500,2.162542,4836
String MergeSort with LCP,ReverseSorted,500,1.904458,3775
String MergeSort with LCP,NearlySorted,500,1.921500,4383
String MergeSort with LCP,CommonPrefix,500,3.943625,47114
MSD Radix Sort,Random,500,1.825500,0
MSD Radix Sort,ReverseSorted,500,2.075416,0
MSD Radix Sort,NearlySorted,500,2.055750,0
MSD Radix Sort,CommonPrefix,500,4.927125,0
Hybrid MSD Radix Sort,Random,500,0.257625,0
Hybrid MSD Radix Sort,ReverseSorted,500,0.633416,0
Hybrid MSD Radix Sort,NearlySorted,500,0.398000,0
Hybrid MSD Radix Sort,CommonPrefix,500,4.784417,0
Standard QuickSort,Random,600,0.712292,6555
Standard QuickSort,ReverseSorted,600,0.528583,4568
Standard QuickSort,NearlySorted,600,0.518750,4444
Standard QuickSort,CommonPrefix,600,0.703416,6399
Standard MergeSort,Random,600,1.764542,4772
Standard MergeSort,ReverseSorted,600,1.590584,2660
Standard MergeSort,NearlySorted,600,1.521208,3653
Standard MergeSort,CommonPrefix,600,2.519042,4791
String QuickSort,Random,600,0.439916,0
String QuickSort,ReverseSorted,600,0.750250,0
String QuickSort,NearlySorted,600,0.564750,0
String QuickSort,CommonPrefix,600,0.581500,0
String MergeSort with LCP,Random,600,2.719625,6087
String MergeSort with LCP,ReverseSorted,600,2.420875,4512
String MergeSort with LCP,NearlySorted,600,2.423208,5602
String MergeSort with LCP,CommonPrefix,600,5.011000,58779
MSD Radix Sort,Random,600,1.994666,0
MSD Radix Sort,ReverseSorted,600,2.419542,0
MSD Radix Sort,NearlySorted,600,2.234416,0
MSD Radix Sort,CommonPrefix,600,5.604583,0
Hybrid MSD Radix Sort,Random,600,0.320000,0
Hybrid MSD Radix Sort,ReverseSorted,600,0.760083,0
Hybrid MSD Radix Sort,NearlySorted,600,0.466500,0
Hybrid MSD Radix Sort,CommonPrefix,600,10.382042,0
Standard QuickSort,Random,700,0.779916,6694
Standard QuickSort,ReverseSorted,700,0.642500,5584
Standard QuickSort,NearlySorted,700,0.579833,5344
Standard QuickSort,CommonPrefix,700,0.834625,7451
Standard MergeSort,Random,700,2.143042,5747
Standard MergeSort,ReverseSorted,700,1.869167,3172
Standard MergeSort,NearlySorted,700,1.824708,4632
Standard MergeSort,CommonPrefix,700,2.976792,5783
String QuickSort,Random,700,0.497458,0
String QuickSort,ReverseSorted,700,0.969292,0
String QuickSort,NearlySorted,700,0.719083,0
String QuickSort,CommonPrefix,700,0.674625,0
String MergeSort with LCP,Random,700,3.169625,7444
String MergeSort with LCP,ReverseSorted,700,2.751500,5259
String MergeSort with LCP,NearlySorted,700,2.871625,6986
String MergeSort with LCP,CommonPrefix,700,5.923375,71068
MSD Radix Sort,Random,700,2.220417,0
MSD Radix Sort,ReverseSorted,700,2.678000,0
MSD Radix Sort,NearlySorted,700,2.551291,0
MSD Radix Sort,CommonPrefix,700,6.387667,0
Hybrid MSD Radix Sort,Random,700,0.380084,0
Hybrid MSD Radix Sort,ReverseSorted,700,0.990375,0
Hybrid MSD Radix Sort,NearlySorted,700,0.544750,0
Hybrid MSD Radix Sort,CommonPrefix,700,6.546083,0
Standard QuickSort,Random,800,0.940916,8207
Standard QuickSort,ReverseSorted,800,0.777542,6525
Standard QuickSort,NearlySorted,800,0.695042,6266
Standard QuickSort,CommonPrefix,800,0.890333,7912
Standard MergeSort,Random,800,2.502458,6710
Standard MergeSort,ReverseSorted,800,2.151792,3728
Standard MergeSort,NearlySorted,800,2.139333,5503
Standard MergeSort,CommonPrefix,800,3.754833,6751
String QuickSort,Random,800,0.669125,0
String QuickSort,ReverseSorted,800,1.134791,0
String QuickSort,NearlySorted,800,0.893417,0
String QuickSort,CommonPrefix,800,0.839375,0
String MergeSort with LCP,Random,800,3.702750,8769
String MergeSort with LCP,ReverseSorted,800,3.181500,6074
String MergeSort with LCP,NearlySorted,800,3.294542,8099
String MergeSort with LCP,CommonPrefix,800,6.811541,83069
MSD Radix Sort,Random,800,2.554917,0
MSD Radix Sort,ReverseSorted,800,3.070875,0
MSD Radix Sort,NearlySorted,800,2.968708,0
MSD Radix Sort,CommonPrefix,800,7.479791,0
Hybrid MSD Radix Sort,Random,800,0.448542,0
Hybrid MSD Radix Sort,ReverseSorted,800,1.023417,0
Hybrid MSD Radix Sort,NearlySorted,800,0.625459,0
Hybrid MSD Radix Sort,CommonPrefix,800,7.210375,0
Standard QuickSort,Random,900,1.138750,10378
Standard QuickSort,ReverseSorted,900,0.836291,7446
Standard QuickSort,NearlySorted,900,0.780916,7144
Standard QuickSort,CommonPrefix,900,1.020125,9056
Standard MergeSort,Random,900,2.819750,7677
Standard MergeSort,ReverseSorted,900,2.335000,4304
Standard MergeSort,NearlySorted,900,2.436125,6157
Standard MergeSort,CommonPrefix,900,3.854667,7696
String QuickSort,Random,900,0.737541,0
String QuickSort,ReverseSorted,900,1.384667,0
String QuickSort,NearlySorted,900,1.088917,0
String QuickSort,CommonPrefix,900,0.907625,0
String MergeSort with LCP,Random,900,4.136208,10133
String MergeSort with LCP,ReverseSorted,900,3.694083,7000
String MergeSort with LCP,NearlySorted,900,3.756333,9009
String MergeSort with LCP,CommonPrefix,900,7.520375,94791
MSD Radix Sort,Random,900,2.867125,0
MSD Radix Sort,ReverseSorted,900,3.419500,0
MSD Radix Sort,NearlySorted,900,3.287250,0
MSD Radix Sort,CommonPrefix,900,7.933958,0
Hybrid MSD Radix Sort,Random,900,0.517958,0
Hybrid MSD Radix Sort,ReverseSorted,900,1.185791,0
Hybrid MSD Radix Sort,NearlySorted,900,0.698541,0
Hybrid MSD Radix Sort,CommonPrefix,900,12.032792,0
Standard QuickSort,Random,1000,1.208250,10724
Standard QuickSort,ReverseSorted,1000,1.055666,8406
Standard QuickSort,NearlySorted,1000,0.851125,8072
Standard QuickSort,CommonPrefix,1000,1.311709,12131
Standard MergeSort,Random,1000,3.273875,8707
Standard MergeSort,ReverseSorted,1000,2.633333,4932
Standard MergeSort,NearlySorted,1000,2.611791,6647
Standard MergeSort,CommonPrefix,1000,4.567292,8719
String QuickSort,Random,1000,0.742917,0
String QuickSort,ReverseSorted,1000,1.564833,0
String QuickSort,NearlySorted,1000,1.298541,0
String QuickSort,CommonPrefix,1000,1.025459,0
String MergeSort with LCP,Random,1000,4.653375,11537
String MergeSort with LCP,ReverseSorted,1000,4.011166,8013
String MergeSort with LCP,NearlySorted,1000,4.128875,9746
String MergeSort with LCP,CommonPrefix,1000,8.702041,107464
MSD Radix Sort,Random,1000,3.096542,0
MSD Radix Sort,ReverseSorted,1000,4.269583,0
MSD Radix Sort,NearlySorted,1000,3.692750,0
MSD Radix Sort,CommonPrefix,1000,9.036083,0
Hybrid MSD Radix Sort,Random,1000,0.562541,0
Hybrid MSD Radix Sort,ReverseSorted,1000,1.308208,0
Hybrid MSD Radix Sort,NearlySorted,1000,0.776459,0
Hybrid MSD Radix Sort,CommonPrefix,1000,9.943833,0
Standard QuickSort,Random,1100,1.365875,11852
Standard QuickSort,ReverseSorted,1100,1.049083,9409
Standard QuickSort,NearlySorted,1100,0.978792,9030
Standard QuickSort,CommonPrefix,1100,1.298875,12112
Standard MergeSort,Random,1100,3.594333,9734
Standard MergeSort,ReverseSorted,1100,2.872750,5420
Standard MergeSort,NearlySorted,1100,2.968458,7617
Standard MergeSort,CommonPrefix,1100,5.207292,9729
String QuickSort,Random,1100,0.873709,0
String QuickSort,ReverseSorted,1100,1.854250,0
String QuickSort,NearlySorted,1100,1.567458,0
String QuickSort,CommonPrefix,1100,1.196416,0
String MergeSort with LCP,Random,1100,5.173667,13021
String MergeSort with LCP,ReverseSorted,1100,4.447500,8736
String MergeSort with LCP,NearlySorted,1100,4.818125,11174
String MergeSort with LCP,CommonPrefix,1100,9.656541,120009
MSD Radix Sort,Random,1100,3.607500,0
MSD Radix Sort,ReverseSorted,1100,4.191416,0
MSD Radix Sort,NearlySorted,1100,4.096625,0
MSD Radix Sort,CommonPrefix,1100,10.079166,0
Hybrid MSD Radix Sort,Random,1100,0.660959,0
Hybrid MSD Radix Sort,ReverseSorted,1100,1.429875,0
Hybrid MSD Radix Sort,NearlySorted,1100,0.873333,0
Hybrid MSD Radix Sort,CommonPrefix,1100,15.760166,0
Standard QuickSort,Random,1200,1.626250,14696
Standard QuickSort,ReverseSorted,1200,1.177708,10329
Standard QuickSort,NearlySorted,1200,1.070000,10080
Standard QuickSort,CommonPrefix,1200,1.609083,14434
Standard MergeSort,Random,1200,4.052417,10760
